Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
65,14,9,194,0,Some Random Comment with Id 65
66,14,9,36,6,Some Random Comment with Id 66
67,14,9,171,5,Some Random Comment with Id 67
68,14,9,184,7,Some Random Comment with Id 68
69,14,9,53,2,Some Random Comment with Id 69
70,15,8,1,2,Some Random Comment with Id 70
71,15,8,112,4,Some Random Comment with Id 71
72,15,8,59,9,Some Random Comment with Id 72
73,15,8,82,3,Some Random Comment with Id 73
74,15,8,2,8,Some Random Comment with Id 74
75,15,8,117,9,Some Random Comment with Id 75
76,16,8,87,6,Some Random Comment with Id 76
77,16,8,88,8,Some Random Comment with Id 77
78,17,9,81,8,Some Random Comment with Id 78
79,17,9,5,6,Some Random Comment with Id 79
80,18,2,49,0,Some Random Comment with Id 80
81,18,2,138,4,Some Random Comment with Id 81
82,19,0,79,6,Some Random Comment with Id 82
83,19,0,164,9,Some Random Comment with Id 83
84,19,0,95,1,Some Random Comment with Id 84
85,19,0,162,6,Some Random Comment with Id 85
86,19,0,126,3,Some Random Comment with Id 86
87,19,0,107,8,Some Random Comment with Id 87
88,20,6,3,8,Some Random Comment with Id 88
89,21,1,88,7,Some Random Comment with Id 89
90,21,1,198,5,Some Random Comment with Id 90
91,21,1,97,3,Some Random Comment with Id 91
92,21,1,15,3,Some Random Comment with Id 92
93,21,1,73,5,Some Random Comment with Id 93
94,21,1,112,0,Some Random Comment with Id 94
95,22,7,148,2,Some Random Comment with Id 95
96,22,7,91,7,Some Random Comment with Id 96
97,22,7,1,7,Some Random Comment with Id 97
98,23,9,127,3,Some Random Comment with Id 98
99,23,9,65,4,Some Random Comment with Id 99
100,23,9,69,4,Some Random Comment with Id 100
101,23,9,50,5,Some Random Comment with Id 101
102,23,9,89,0,Some Random Comment with Id 102
103,23,9,28,5,Some Random Comment with Id 103
104,23,9,115,3,Some Random Comment with Id 104
105,23,9,11,4,Some Random Comment with Id 105
106,23,9,190,5,Some Random Comment with Id 106
107,24,8,157,1,Some Random Comment with Id 107
108,24,8,6,5,Some Random Comment with Id 108
109,24,8,166,8,Some Random Comment with Id 109
110,24,8,81,3,Some Random Comment with Id 110
111,25,4,109,0,Some Random Comment with Id 111
112,25,4,105,8,Some Random Comment with Id 112
113,25,4,178,3,Some Random Comment with Id 113
114,25,4,67,8,Some Random Comment with Id 114
115,26,0,192,4,Some Random Comment with Id 115
116,26,0,160,3,Some Random Comment with Id 116
117,26,0,141,4,Some Random Comment with Id 117
118,26,0,89,6,Some Random Comment with Id 118
119,26,0,121,2,Some Random Comment with Id 119
120,26,0,88,9,Some Random Comment with Id 120
121,26,0,115,8,Some Random Comment with Id 121
122,27,1,89,3,Some Random Comment with Id 122
123,27,1,185,6,Some Random Comment with Id 123
124,27,1,74,5,Some Random Comment with Id 124
125,27,1,56,0,Some Random Comment with Id 125
126,28,9,11,8,Some Random Comment with Id 126
127,28,9,38,5,Some Random Comment with Id 127
128,30,5,49,8,Some Random Comment with Id 128
129,30,5,88,2,Some Random Comment with Id 129
130,30,5,79,5,Some Random Comment with Id 130
131,30,5,67,3,Some Random Comment with Id 131
132,30,5,64,7,Some Random Comment with Id 132
133,30,5,111,7,Some Random Comment with Id 133
134,30,5,40,8,Some Random Comment with Id 134
135,30,5,160,6,Some Random Comment with Id 135
136,31,0,33,6,Some Random Comment with Id 136
137,32,6,178,2,Some Random Comment with Id 137
138,32,6,183,0,Some Random Comment with Id 138
139,32,6,97,7,Some Random Comment with Id 139
140,32,6,57,4,Some Random Comment with Id 140
141,32,6,187,7,Some Random Comment with Id 141
142,33,7,151,0,Some Random Comment with Id 142
143,33,7,23,6,Some Random Comment with Id 143
144,33,7,104,9,Some Random Comment with Id 144
145,34,4,21,7,Some Random Comment with Id 145
146,34,4,15,1,Some Random Comment with Id 146
147,34,4,7,6,Some Random Comment with Id 147
148,34,4,161,9,Some Random Comment with Id 148
149,34,4,166,7,Some Random Comment with Id 149
150,35,0,112,5,Some Random Comment with Id 150
151,35,0,12,4,Some Random Comment with Id 151
152,35,0,32,1,Some Random Comment with Id 152
153,35,0,184,3,Some Random Comment with Id 153
154,35,0,54,4,Some Random Comment with Id 154
155,35,0,121,4,Some Random Comment with Id 155
156,35,0,192,5,Some Random Comment with Id 156
157,35,0,62,4,Some Random Comment with Id 157
158,36,5,118,6,Some Random Comment with Id 158
159,36,5,106,4,Some Random Comment with Id 159
160,37,5,67,1,Some Random Comment with Id 160
161,37,5,185,8,Some Random Comment with Id 161
162,37,5,111,5,Some Random Comment with Id 162
163,37,5,144,1,Some Random Comment with Id 163
164,37,5,40,8,Some Random Comment with Id 164
165,37,5,43,7,Some Random Comment with Id 165
166,37,5,166,5,Some Random Comment with Id 166
167,37,5,109,9,Some Random Comment with Id 167
168,37,5,120,3,Some Random Comment with Id 168
169,39,0,153,3,Some Random Comment with Id 169
170,39,0,117,1,Some Random Comment with Id 170
171,39,0,67,4,Some Random Comment with Id 171
